question_id,question,category,answerability,status,expected_document,expected_chunk_id,evidence_page,evidence_text,notes
P001,Điều kiện để sinh viên được xét công nhận tốt nghiệp gồm những gì?,xet_tot_nghiep,answerable,reviewed,HCMUTE_QCDT_1727_2021,HCMUTE_QCDT_1727_2021__c0036,22,"Điều 16. Công nhận tốt nghiệp và cấp bằng tốt nghiệp. 1. Sinh viên được xét và công nhận tốt nghiệp khi có đủ các điều kiện sau: a) Tích lũy đủ học phần, số tín chỉ và hoàn thành các nội dung bắt buộc khác theo yêu cầu của chương trình đào tạo, đạt chuẩn đầu ra của chương trình đào tạo; b) Điểm trung bình tích lũy của toàn khóa học đạt từ trung bình trở lên; c) Tại thời điểm xét tốt nghiệp không bị truy cứu trách nhiệm hình sự hoặc không đang trong thời gian bị kỷ luật ở mức đình chỉ học tập...",Giữ nguyên câu hỏi draft; khớp trực tiếp với Điều 16 của Quy chế đào tạo.
P002,Sinh viên được rút bớt học phần trong trường hợp nào?,dang_ky_hoc_phan,answerable,reviewed,HCMUTE_QCDT_1727_2021,HCMUTE_QCDT_1727_2021__c0021,12,"Điều 9, mục 7. Rút bớt học phần đã đăng ký. a) Trường sẽ tổ chức cho sinh viên rút bớt các học phần đã đăng ký... b) Điều kiện rút bớt các học phần đã đăng ký: Có hai khoảng thời gian để sinh viên được rút...",Giữ nguyên câu hỏi draft; khớp với Điều 9 (mục 7) của Quy chế đào tạo.
P003,Cảnh báo học tập được xác định theo những tiêu chí nào?,canh_bao_hoc_tap,answerable,reviewed,HCMUTE_QCDT_1727_2021,HCMUTE_QCDT_1727_2021__c0032;HCMUTE_QCDT_1727_2021__c0033,20-21,"Điều 13 (theo tín chỉ), mục 1: sinh viên bị cảnh báo học tập khi tổng tín chỉ không đạt trong học kỳ vượt 50% số tín chỉ đăng ký, hoặc ĐTBHK/ĐTBTL dưới ngưỡng quy định theo năm học... Điều 14 (theo niên chế), mục 2 quy định tiêu chí tương ứng cho hệ niên chế.","Đổi thuật ngữ từ ""cảnh báo học vụ"" (draft) thành ""cảnh báo học tập"" cho khớp đúng thuật ngữ Quy chế. Văn bản có 2 hệ song song (tín chỉ - Điều 13, niên chế - Điều 14) nên gold evidence gồm 2 chunk."
P004,Quy định về đăng ký học lại được nêu như thế nào?,dang_ky_hoc_lai,answerable,reviewed,HCMUTE_QCDT_1727_2021,HCMUTE_QCDT_1727_2021__c0021,12,"Điều 9, mục 8. Đăng ký học lại. a) Sinh viên có điểm đánh giá học phần không đạt phải đăng ký học lại theo quy định tại Điều 4 của Quy chế này; điểm lần học cuối là điểm chính thức của học phần...",Giữ nguyên câu hỏi draft. Trùng chunk với P002 vì mục 7 (rút bớt) và mục 8 (đăng ký học lại) cùng nằm trong Điều 9 và rơi vào cùng một chunk theo cấu hình chunking hiện tại.
P005,Điều kiện để sinh viên đăng ký học phần Thực tập tốt nghiệp là gì?,thuc_tap,answerable,reviewed,HCMUTE_FIT_TTTN_2022,HCMUTE_FIT_TTTN_2022__c0000,1,"I. Thời điểm đăng ký học phần: Học kỳ 7. - SV đăng ký học phần ""Thực tập tốt nghiệp"" để có tên trong danh sách ghi điểm, giáo viên hướng dẫn (GVHD) sẽ dựa vào báo cáo và nhận xét SV đã nộp để cho điểm môn này...","Sửa câu hỏi draft (""điều kiện để sinh viên đăng ký thực tập"") thành đúng phạm vi tài liệu tìm được: tài liệu là hướng dẫn học phần ""Thực tập tốt nghiệp"" (không phải điều kiện tuyển chọn đầu vào), nên thu hẹp câu hỏi về điều kiện/thời điểm đăng ký học phần này theo đúng nội dung văn bản."
P006,Sinh viên cần đáp ứng điều kiện nào để thực hiện khóa luận (đồ án) tốt nghiệp?,khoa_luan_tot_nghiep,unanswerable,reviewed,,,,,"Đã đổi thuật ngữ ""đồ án tốt nghiệp"" (draft) sang ""khóa luận (đồ án) tốt nghiệp"" cho khớp cách gọi trong Quy chế đào tạo. Đã kiểm tra TOÀN BỘ corpus (3 tài liệu): ""khóa luận tốt nghiệp"" chỉ xuất hiện như một trong các hình thức đánh giá học phần (Điều 11) và quy định lưu trữ tại thư viện, không có Điều/mục nêu rõ điều kiện (số tín chỉ tích lũy, ĐTB...) để được LÀM khóa luận tốt nghiệp. Trang thực tế của Khoa CNTT có bài viết ""Hỏi điều kiện để được làm khóa luận tốt nghiệp"" tại fit.hcmute.edu.vn/ArticleId/d0ddf486-c445-4a98-9a7c-dae8c2ec7ea2/ nhưng subdomain fit.hcmute.edu.vn bị chặn bởi chính sách mạng của môi trường phiên làm việc này nên chưa lấy được nội dung. Đây là khoảng trống dữ liệu cần bổ sung ở mốc kế tiếp, KHÔNG giống bản chất với P009/P010 (vốn là câu hỏi cố tình ngoài phạm vi vì dữ liệu động)."
P007,Thủ tục xin nghỉ học tạm thời được quy định ra sao?,nghi_hoc_tam_thoi,answerable,reviewed,HCMUTE_QCDT_1727_2021,HCMUTE_QCDT_1727_2021__c0038,23,"Điều 17. Nghỉ học tạm thời, thôi học. 1. Sinh viên được xin nghỉ học tạm thời và bảo lưu kết quả đã học trong các trường hợp sau: a) Được điều động vào các lực lượng vũ trang; b) Được cơ quan có thẩm quyền điều động... 3. Sinh viên có nguyện vọng nghỉ học tạm thời phải làm đơn xin tạm dừng học và nộp về Phòng Tuyển sinh và Công tác sinh viên chậm nhất 2 tuần trước khi kết thúc học kỳ...","Đổi thuật ngữ ""tạm dừng học"" (draft) thành ""nghỉ học tạm thời"" cho khớp đúng tên Điều 17 của Quy chế."
P008,Các trường hợp bị buộc thôi học được quy định như thế nào?,buoc_thoi_hoc,answerable,reviewed,HCMUTE_QCDT_1727_2021,HCMUTE_QCDT_1727_2021__c0032;HCMUTE_QCDT_1727_2021__c0033,20-21,"Điều 13, mục 2: Sinh viên bị buộc thôi học nếu thuộc một trong các trường hợp: a) Có 3 lần cảnh báo học tập liên tiếp; b) Thời gian học tập vượt quá giới hạn theo quy định...; Điều 14, mục 3 quy định tương ứng cho hệ niên chế.",Giữ nguyên câu hỏi draft. Trùng 2 chunk với P003 vì cảnh báo học tập và buộc thôi học cùng nằm trong Điều 13/14.
P009,Lịch thi của lớp cụ thể vào tuần tới là khi nào?,lich_thi,unanswerable,reviewed,,,,,"Câu hỏi kiểm tra cơ chế từ chối. Đã kiểm tra retrieval BM25 trên toàn corpus: không có nội dung lịch thi cụ thể theo lớp/tuần (dữ liệu động, không thuộc phạm vi quy chế/sổ tay tĩnh). Top-3 kết quả BM25 đều không liên quan trực tiếp (điểm cao nhất ~14.8, thấp hơn rõ rệt so với các câu answerable)."
P010,Học phí của học kỳ tiếp theo là bao nhiêu?,hoc_phi,unanswerable,reviewed,,,,,"Câu hỏi kiểm tra cơ chế từ chối. Đã kiểm tra retrieval BM25 trên toàn corpus: chỉ có nội dung liên quan gián tiếp (giờ tín chỉ quy đổi, mức trợ cấp chính sách) chứ không có mức học phí cụ thể theo học kỳ (dữ liệu động, không thuộc phạm vi quy chế/sổ tay tĩnh)."
